neighbourhood_cleansed,neighbourhood_density,neighbourhood_mean_price
Abolição,0.00012334004851375242,695.0
Alto da Boa Vista,0.0013978538831558606,2111.9117647058824
Anchieta,0.0002055667475229207,366.0
Andaraí,0.002466800970275048,988.15
Anil,0.0017267606791925337,651.3333333333334
Bancários,8.222669900916828e-05,151.0
Bangu,0.0008633803395962669,2396.095238095238
Barra da Tijuca,0.11228055749701928,1017.1856462834127
Barra de Guaratiba,0.0018089873782017021,1282.0681818181818
Barros Filho,0.00016445339801833656,85.0
Benfica,0.000287793446532089,760.4285714285714
Bento Ribeiro,0.0003289067960366731,478.25
Bonsucesso,0.0006578135920733462,177.625
Botafogo,0.04695144513423508,445.56567425569176
Brás de Pina,0.0007811536405870986,112.78947368421052
Cachambi,0.0009867203881100193,364.375
Cacuia,0.0002055667475229207,175.2
Caju,4.111334950458414e-05,121.0
Camorim,0.007770423056366402,567.3703703703703
Campinho,0.0004933601940550097,3260.0833333333335
Campo Grande,0.002137894174238375,588.4807692307693
Campo dos Afonsos,4.111334950458414e-05,168.0
Cascadura,0.000287793446532089,387.85714285714283
Catete,0.009456070386054352,279.1304347826087
Catumbi,0.00037002014554125725,200.22222222222223
Cavalcanti,4.111334950458414e-05,348.0
Centro,0.02729926407104387,345.43674698795184
Cidade Nova,0.0006989269415779303,263.2352941176471
Cidade de Deus,0.0004111334950458414,435.9
Cocotá,0.00012334004851375242,246.33333333333334
Coelho Neto,4.111334950458414e-05,42.0
Colégio,8.222669900916828e-05,75.5
Complexo do Alemão,8.222669900916828e-05,42.0
Copacabana,0.2634543436253752,486.58395755305867
Cordovil,0.00016445339801833656,141.25
Cosme Velho,0.0027957077663117212,663.6470588235294
Cosmos,0.00024668009702750484,320.8333333333333
Curicica,0.0022201208732475436,341.14814814814815
Del Castilho,0.0008222669900916828,245.35
Deodoro,8.222669900916828e-05,475.5
Encantado,0.0005344735435595938,163.92307692307693
Engenheiro Leal,4.111334950458414e-05,1498.0
Engenho Novo,0.0015623072811741972,231.78947368421052
Engenho da Rainha,0.00024668009702750484,342.5
Engenho de Dentro,0.002137894174238375,433.0769230769231
Estácio,0.0022612342227521275,208.43636363636364
Flamengo,0.02692924392550261,453.26259541984734
Freguesia (Ilha),0.0002055667475229207,175.2
Freguesia (Jacarepaguá),0.0062903424742013735,464.83660130718954
Galeão,0.00016445339801833656,87.25
Gamboa,0.0004933601940550097,283.5
Gardênia Azul,0.0008222669900916828,418.7
Gericinó,4.111334950458414e-05,50.0
Glória,0.01073058422069646,452.8888888888889
Grajaú,0.0025079143197796324,262.60655737704917
Grumari,0.00016445339801833656,520.5
Guadalupe,0.0003289067960366731,274.0
Guaratiba,0.002096780824733791,813.0588235294117
Gávea,0.009209390289026847,738.5714285714286
Higienópolis,0.000287793446532089,426.85714285714283
Honório Gurgel,4.111334950458414e-05,50.0
Humaitá,0.00814044320190766,463.16161616161617
Inhaúma,0.00016445339801833656,362.0
Inhoaíba,0.00012334004851375242,158.0
Ipanema,0.08600912716359002,713.4842256214149
Irajá,0.0009044936891008511,289.95454545454544
Itanhangá,0.004604695144513424,1763.5357142857142
Jacarepaguá,0.05661308226781236,763.7959331880901
Jacaré,0.00016445339801833656,267.75
Jardim América,4.111334950458414e-05,71.0
Jardim Botânico,0.00904493689100851,723.1363636363636
Jardim Carioca,0.000287793446532089,182.42857142857142
Jardim Guanabara,0.0018089873782017021,288.95454545454544
Jardim Sulacap,0.000287793446532089,521.0
Joá,0.002055667475229207,3922.04
Lagoa,0.01142951116227439,823.3273381294964
Laranjeiras,0.02026888130575998,493.7971602434077
Leblon,0.04703367183324426,802.2762237762238
Leme,0.017226493442420755,521.9021479713604
Lins de Vasconcelos,0.0006989269415779303,147.7058823529412
Madureira,0.000287793446532089,284.42857142857144
Magalhães Bastos,0.00012334004851375242,934.0
Mangueira,0.0006578135920733462,189.375
Manguinhos,8.222669900916828e-05,394.5
Maracanã,0.00715372281379764,685.3563218390805
Marechal Hermes,0.00045224684455042553,160.63636363636363
Maria da Graça,0.00037002014554125725,480.55555555555554
Moneró,0.00024668009702750484,143.66666666666666
Méier,0.0017267606791925337,266.9761904761905
Olaria,0.000287793446532089,174.42857142857142
Osvaldo Cruz,0.0002055667475229207,285.2
Paciência,0.00012334004851375242,232.33333333333334
Padre Miguel,0.0004111334950458414,2219.0
Paquetá,0.0008222669900916828,298.75
Parada de Lucas,0.00016445339801833656,81.0
Parque Anchieta,0.00024668009702750484,519.6666666666666
Parque Colúmbia,4.111334950458414e-05,201.0
Pavuna,0.00024668009702750484,341.1666666666667
Pechincha,0.0022612342227521275,503.1090909090909
Pedra de Guaratiba,0.0004933601940550097,407.1666666666667
Penha,0.0006578135920733462,183.25
Penha Circular,0.00024668009702750484,193.16666666666666
Piedade,0.0003289067960366731,280.125
Pilares,0.00024668009702750484,114.66666666666667
Pitangueiras,0.00012334004851375242,186.33333333333334
Portuguesa,0.0009456070386054351,211.47826086956522
Praia da Bandeira,0.00024668009702750484,163.66666666666666
Praça Seca,0.001151173786128356,254.25
Praça da Bandeira,0.0021790075237429593,408.1320754716981
Quintino Bocaiúva,0.0003289067960366731,664.5
Ramos,0.0002055667475229207,4062.4
Realengo,0.000287793446532089,806.5714285714286
Recreio dos Bandeirantes,0.0469103317847305,747.1078001752849
Riachuelo,0.0007811536405870986,424.7368421052632
Ribeira,4.111334950458414e-05,130.0
Ricardo de Albuquerque,0.00016445339801833656,889.0
Rio Comprido,0.00287793446532089,343.42857142857144
Rocha,0.0006578135920733462,362.0625
Rocha Miranda,8.222669900916828e-05,165.5
Rocinha,0.000616700242568762,603.0
Sampaio,0.00037002014554125725,237.0
Santa Cruz,0.00045224684455042553,461.27272727272725
Santa Teresa,0.03149282572051145,513.1971279373369
Santo Cristo,0.0004933601940550097,2028.25
Santíssimo,0.0002055667475229207,321.4
Saúde,0.000616700242568762,228.26666666666668
Senador Camará,4.111334950458414e-05,50.0
Senador Vasconcelos,0.0002055667475229207,105.6
Sepetiba,0.0002055667475229207,166.2
São Conrado,0.007112609464293056,2016.1329479768785
São Cristóvão,0.0034535213583850675,324.5595238095238
São Francisco Xavier,0.0009044936891008511,560.0
Tanque,0.000616700242568762,330.8666666666667
Taquara,0.004481355095999671,482.61467889908255
Tauá,0.0004111334950458414,193.3
Tijuca,0.02035110800476915,513.3353535353535
Todos os Santos,0.001151173786128356,234.17857142857142
Tomás Coelho,0.0002055667475229207,300.4
Urca,0.00456358179500884,694.6756756756756
Vargem Grande,0.0037824281544217406,879.2173913043479
Vargem Pequena,0.005303622086091354,846.5736434108527
Vasco da Gama,0.00016445339801833656,187.75
Vicente de Carvalho,0.0002055667475229207,741.0
Vidigal,0.00476914854253176,525.1379310344828
Vigário Geral,8.222669900916828e-05,188.5
Vila Isabel,0.007277062862311392,551.4858757062146
Vila Kosmos,8.222669900916828e-05,77.5
Vila Militar,8.222669900916828e-05,1299.0
Vila Valqueire,0.0004933601940550097,263.25
Vila da Penha,0.000287793446532089,348.85714285714283
Vista Alegre,4.111334950458414e-05,80.0
Água Santa,0.00012334004851375242,910.6666666666666
